Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500      7s |  40   123553   117906 |  34   125475   119513
H    1000     11s |  61   121557   117737 |  62   120394   118405
H    1500     16s |  36   117907   117719 |  54   117724   114858
H    2000     21s |  36   117812   117715 |  62   124399   119069
H    2500     28s |  35   117788   117675 |  30   132855   118495
     3000     38s |  26   117847   117675 |  44   127332   118333
     3500     45s |  37   117749   117675 |  41   126139   118358
H    4000     50s |  33   117739   117666 |  53   113901   111887
     4500     55s |  50   117717   117666 |  44   122815   118453
     5000     61s |  42   117769   117666 |  60   121541   118135
     5500     66s |  39   117810   117666 |  30   121357   119047
     6000     72s |  34   117806   117666 |  43    95890    90061
     6500     78s |  64   117889   117666 |  62   122377   118098
     7000     82s |  48   117840   117666 |  45   121132   118461
H    7500     88s |  64   117866   117650 |  37   123796   118874
     8000     93s |  62   117842   117650 |  47   115370   114491
     8500     97s |  53   117823   117650 |  64   120989   118921
     9000    103s |  45   117796   117650 |  39   125049   118268
     9500    108s |  58   117732   117650 |  34   119629   117825
    10000    114s |  36   117742   117650 |  64   119552   118734
H   10500    119s |  28   117690   117648 |  39   102658    98004
    11000    124s |  60   117806   117648 |  56   115191   113842
    11500    128s |  47   117691   117648 |  36   118943   117926
H   12000    133s |  53   117713   117644 |  38   118799   118395
    12500    137s |  56   117682   117644 |  43   122384   118589
    13000    143s |  48   117682   117644 |  59   120091   118184
    13500    149s |  45   117716   117644 |  29   118145   117363
    14000    159s |  37   117737   117644 |  55   121588   117640
    14500    165s |  53   117824   117644 |  47   119129   118434
H   15000    172s |  57   117713   117632 |  51   123108   118168
    15500    178s |  64   117748   117632 |  52   120352   117942
H   16000    183s |  58   117717   117613 |  25   118987   118621
    16500    190s |  62   117709   117613 |  29   112183   111111
    17000    194s |  38   117700   117613 |  61   121904   118357
    17500    202s |  64   117693   117613 |  43   124075   118059
    18000    207s |  42   117689   117613 |  32   120613   118116
    18500    213s |  59   117715   117613 |  64   121438   118472
    19000    219s |  28   117721   117613 |  62   121380   117964
    19500    226s |  30   117811   117613 |  27   111496   110198
    20000    233s |  37   117825   117613 |  28   113347   112677
    20500    239s |  40   117691   117613 |  38   124410   118430
    21000    245s |  62   117708   117613 |  65   125408   117752
    21500    249s |  32   117720   117613 |  62   124768   118519
    22000    255s |  26   117676   117613 |  35   123497   116925
    22500    259s |  37   117752   117613 |  32   118810   118625
    23000    263s |  49   117770   117613 |  28   118902   118670
    23500    267s |  31   117675   117613 |  54   118935   118706
    24000    271s |  56   117839   117613 |  37   117192   113323
    24500    276s |  33   117725   117613 |  27   118915   118405
    25000    280s |  59   117766   117613 |  50   118833   118415
    25500    285s |  57   117791   117613 |  60   120667   118467
    26000    290s |  36   117712   117613 |  48   119868   118569
    26500    294s |  27   117725   117613 |  65   117843   117155
    27000    299s |  45   117704   117613 |  55   121394   118348
    27500    305s |  65   117809   117613 |  43   122783   118250
    28000    309s |  59   117794   117613 |  57   119400   118842
    28500    314s |  55   117779   117613 |  28   122300   117920
    29000    318s |  65   117796   117613 |  26   120374   118467
    29500    322s |  40   117705   117613 |  59   119837   118639
    30000    327s |  46   117685   117613 |  61   122276   118197
    30500    332s |  36   117756   117613 |  38   119105   118679
    31000    336s |  58   117759   117613 |  65   119078   118700
    31500    341s |  49   117799   117613 |  41   119625   118262
    32000    345s |  44   117807   117613 |  54   117763   117662
    32500    349s |  49   117715   117613 |  57   119767   118454
    33000    354s |  60   117750   117613 |  54   124076   117882
    33500    358s |  62   117805   117613 |  60   117814   116323
    34000    364s |  59   117682   117613 |  30   126621   118348
    34500    369s |  28   117820   117613 |  28   119036   117009
    35000    375s |  48   117745   117613 |  57   124482   118687
    35500    380s |  49   117755   117613 |  64   124332   118410
R                 |        restart        |        restart
    36000    386s |  52   122187   117725 |  65   118665   117952
    36500    391s |  64   121367   117690 |  61   120746   119025
    37000    396s |  37   117836   117682 |  55   120698   118585
    37500    401s |  48   117888   117666 |  52   117838   116859
    38000    405s |  56   117766   117618 |  52   119866   119237
    38500    411s |  55   117724   117618 |  61   115827   111806
    39000    415s |  54   117768   117618 |  29   122614   118266
    39500    420s |  64   117720   117618 |  27   118775   117711
    40000    425s |  57   117749   117618 |  42   116078   103432
    40500    430s |  43   117709   117618 |  64   122468   119014
    41000    435s |  50   117714   117618 |  65   122026   118615
    41500    439s |  58   117811   117618 |  65   120340   117792
    42000    444s |  25   117710   117618 |  65   120807   118707
    42500    449s |  64   117715   117618 |  34   125267   118012
    43000    453s |  53   117733   117618 |  53   119303   118919
    43500    458s |  30   117722   117618 |  43   118231   118017
    44000    462s |  63   117787   117618 |  59   121003   117892
    44500    466s |  56   117751   117618 |  33   119083   118606
    45000    471s |  59   117851   117618 |  38   119422   118046
    45500    475s |  59   117683   117618 |  46   118980   118762
    46000    479s |  38   117707   117618 |  34   120756   118110
    46500    483s |  32   117707   117617 |  48   117496   115531
    47000    489s |  47   117670   117617 |  41   120897   118000
    47500    495s |  43   117689   117617 |  53   124646   117056
    48000    499s |  34   117729   117617 |  29   118923   118665
H   48500    504s |  35   117701   117606 |  36   123171   118375
    49000    508s |  31   117663   117606 |  49   109465    67174
    49500    517s |  54   117666   117606 |  58   122847   118104
    50000    522s |  47   117707   117606 |  32   118862   117762
    50500    526s |  44   117742   117606 |  43   119543   119190
    51000    530s |  50   117777   117606 |  45   118654   118223
    51500    535s |  47   117752   117606 |  56   119887   117909
    52000    539s |  35   117797   117606 |  35   118407   118328
    52500    544s |  48   117797   117606 |  30   106491   102811
    53000    550s |  27   117710   117606 |  59   121143   117742
    53500    554s |  59   117788   117606 |  35   117368   116861
    54000    558s |  36   117731   117606 |  25   117478   117127
    54500    562s |  52   117729   117606 |  58   119345   118211
    55000    568s |  41   117754   117606 |  36   119136   117912
    55500    572s |  26   117740   117606 |  59   116393   114856
    56000    577s |  55   117700   117606 |  38   108780   105063
    56500    582s |  64   117717   117606 |  37   122596   117831
    57000    587s |  35   117740   117606 |  33   118973   117810
    57500    593s |  45   117753   117606 |  31   121943   118666
    58000    597s |  39   117769   117606 |  45   119782   117541
    58500    602s |  65   117838   117606 |  27   114906   113545
    59000    606s |  58   117711   117606 |  42   119915   118382
    59500    612s |  40   117738   117606 |  27   116510   115869
    60000    616s |  41   117755   117606 |  34   119094   118120
    60500    623s |  41   117718   117606 |  42   120821   118135
    61000    628s |  56   117737   117606 |  35   112165   110141
    61500    634s |  44   117719   117606 |  55   122856   118262
    62000    640s |  25   117726   117606 |  41   123893   117659
    62500    644s |  35   117750   117606 |  39   128843   118940
    63000    649s |  26   117709   117606 |  56   121107   117747
    63500    654s |  26   117723   117606 |  64   121337   118194
    64000    659s |  59   117780   117606 |  39   134852   119223
    64500    664s |  37   117792   117606 |  28   125890   118238
    65000    670s |  52   117777   117606 |  62   115664   113101
    65500    674s |  43   117812   117606 |  38   121902   118900
    66000    679s |  27   117771   117606 |  62   121230   117861
    66500    683s |  38   117774   117606 |  59   117380   116642
    67000    689s |  37   117790   117606 |  27   122370   118163
    67500    694s |  25   117755   117606 |  47   120972   117946
    68000    700s |  51   117714   117606 |  29   121117   118053
R                 |        restart        |        restart
    68500    706s |  35   124425   117876 |  59   117030   115571
    69000    711s |  28   117976   117770 |  33   117139   116608
    69500    715s |  63   117967   117770 |  47   120450   119493
    70000    720s |  55   117943   117726 |  63   119509   118774
    70500    726s |  58   117949   117673 |  27   119278   117883
    71000    731s |  43   117862   117673 |  50   120623   118888
    71500    735s |  35   117772   117641 |  25   116368   115460
    72000    740s |  33   117731   117641 |  35   119985   118594
    72500    745s |  32   117712   117638 |  44   119793   118110
    73000    748s |  63   117723   117638 |  62   118597   118149
    73500    754s |  45   117817   117638 |  47   118491   117377
    74000    759s |  25   117732   117638 |  34   102764    98495
    74500    765s |  27   117708   117638 |  40   122173   118408
    75000    770s |  52   117742   117638 |  64   122823   117923
    75500    775s |  59   117725   117630 |  65   121180   118530
    76000    779s |  25   117760   117618 |  25   120494   117906
    76500    783s |  59   117688   117617 |  40   118731   118638
    77000    790s |  62   117710   117614 |  50   122430   117885
    77500    793s |  54   117705   117607 |  25   118207   117902
    78000    797s |  32   117687   117607 |  55   115865   114524
    78500    801s |  28   117642   117607 |  26   119002   118396
    79000    806s |  61   117747   117606 |  42   119064   117766
    79500    810s |  30   117728   117606 |  40   118356   116820
    80000    816s |  35   117765   117606 |  43   112117   110651
    80500    821s |  35   117764   117606 |  51   120236   118276
    81000    825s |  39   117774   117606 |  55   121193   117703
    81500    832s |  28   117801   117606 |  33   119949   119703
    82000    836s |  32   117741   117606 |  37   119494   119108
    82500    840s |  50   117849   117606 |  27   119468   118618
    83000    845s |  30   117722   117606 |  55   118883   118251
    83500    850s |  48   117746   117606 |  45   119395   117766
    84000    854s |  50   117711   117606 |  51   118948   117921
    84500    858s |  41   117723   117606 |  27   118660   118431
    85000    863s |  43   117754   117606 |  33   119060   117800
    85500    866s |  65   117737   117606 |  60   117252   116771
    86000    872s |  32   117718   117606 |  60   124246   118190
    86500    877s |  25   117776   117606 |  34   121891   118706
    87000    881s |  58   117727   117606 |  50   118903   118745
    87500    886s |  64   117795   117606 |  52   119060   118819
    88000    890s |  29   117717   117606 |  54   119100   118826
R                 |        restart        |        restart
    88500    895s |  57   122031   117792 |  38   119312   118810
    89000    900s |  46   122680   117728 |  57   119840   118665
    89500    905s |  56   117921   117664 |  55   119336   118241
    90000    909s |  62   117794   117661 |  57   119203   118753
    90500    915s |  57   117712   117661 |  29    92224    83293
    91000    921s |  43   117768   117661 |  51   118695   118392
    91500    927s |  45   117843   117661 |  57   123217   118999
    92000    932s |  48   117718   117661 |  62   120316   118124
    92500    938s |  36   117776   117661 |  41   119922   118148
    93000    944s |  41   117807   117653 |  44   117953   117339
    93500    949s |  25   117774   117653 |  27   121898   118081
    94000    953s |  25   117796   117653 |  35   119203   118860
    94500    958s |  41   117817   117653 |  27   120490   118470
    95000    963s |  40   117758   117653 |  36   118857   118455
    95500    967s |  48   117761   117653 |  36   118976   118545
    96000    973s |  25   117701   117653 |  26   122028   117916
    96500    977s |  57   117743   117648 |  43   123234   119146
    97000    983s |  37   117747   117644 |  36    87483    79255
    97500    990s |  48   117753   117644 |  36   119863   117641
    98000    994s |  32   117792   117644 |  60   120769   118407
    98500    999s |  49   117850   117644 |  51   120105   118464
    99000   1003s |  31   117774   117644 |  36   119645   118011
    99500   1009s |  60   117778   117644 |  56   110004   108286
   100000   1016s |  47   117779   117644 |  36   121736   118395
   100500   1020s |  31   117824   117644 |  60   119211   117884
   101000   1025s |  28   117815   117644 |  30   119514   119401
   101500   1028s |  48   117788   117644 |  59   118147   117904
   102000   1034s |  44   117795   117641 |  30   116464   115840
   102500   1039s |  60   117758   117641 |  63   122536   118532
   103000   1044s |  49   117784   117641 |  41   110521   109005
   103500   1048s |  28   117730   117641 |  29   119365   119262
   104000   1052s |  38   117753   117641 |  27   118792   118688
   104500   1056s |  61   117742   117641 |  53   118895   118689
   105000   1062s |  39   117743   117641 |  42   114451   113852
   105500   1066s |  36   117755   117641 |  53   118903   118330
   106000   1070s |  47   117799   117641 |  50   118671   118438
   106500   1074s |  30   117748   117641 |  34   119321   119073
   107000   1080s |  63   117734   117641 |  50   110911   109556
   107500   1085s |  41   117754   117641 |  39   121832   117891
   108000   1091s |  51   117779   117641 |  37   120084   117734
R                 |        restart        |        restart
   108500   1096s |  31   125282   118022 |  65   120342   118141
   109000   1101s |  25   118044   117756 |  38   121028   119292
   109500   1106s |  26   117936   117683 |  45   120070   118834
   110000   1111s |  61   117904   117683 |  59   119532   118813
   110500   1116s |  42   117791   117630 |  45   114038   112788
   111000   1122s |  47   117724   117627 |  48   104670   101273
   111500   1126s |  34   117739   117627 |  28   119730   119683
   112000   1130s |  65   117692   117627 |  46   108177   106229
   112500   1136s |  29   117713   117627 |  49   118398   116872
   113000   1142s |  48   117750   117627 |  38   121380   118682
   113500   1150s |  62   117788   117613 |  38   121853   118059
   114000   1155s |  58   117710   117613 |  50   119114   118380
   114500   1161s |  61   117722   117613 |  55   115855   114809
   115000   1165s |  31   117779   117613 |  52   119099   117732
   115500   1171s |  51   117798   117613 |  40   108162   106704
   116000   1176s |  53   117808   117613 |  46   124744   118653
   116500   1182s |  32   117730   117613 |  34   111778   111158
   117000   1187s |  54   117730   117613 |  61   121395   118387
   117500   1192s |  48   117792   117613 |  34   119550   117858
   118000   1197s |  42   117707   117613 |  48   120605   118087
   118500   1205s |  30   117703   117613 |  27   122360   117824
   119000   1209s |  54   117733   117613 |  52   118679   118165
   119500   1218s |  25   117760   117613 |  64   128561   118246
   120000   1225s |  25   117794   117613 |  31   122361   117581
   120500   1229s |  55   117742   117613 |  50   112767   101474
   121000   1235s |  28   117765   117613 |  44   119594   117831
   121500   1240s |  51   117752   117613 |  29   119667   119088
   122000   1245s |  35   117772   117613 |  53   118753   118546
   122500   1251s |  34   117743   117613 |  62   124017   118385
   123000   1257s |  63   117769   117613 |  41   123024   117482
   123500   1263s |  29   117695   117613 |  42   117778   114013
   124000   1267s |  55   117737   117613 |  65   120384   118387
   124500   1273s |  27   117707   117613 |  60   120168   117876
   125000   1278s |  27   117758   117613 |  27   117575   116748
   125500   1284s |  29   117739   117613 |  33   128396   118821
   126000   1289s |  40   117772   117613 |  30   121203   118293
   126500   1295s |  59   117721   117613 |  60   119514   117948
   127000   1300s |  61   117708   117613 |  25   124492   118097
   127500   1306s |  49   117733   117613 |  45   131406   119019
   128000   1311s |  53   117762   117613 |  49   120146   115838
R                 |        restart        |        restart
   128500   1316s |  38   123874   117807 |  59   121579   119341
   129000   1321s |  57   121779   117681 |  48   119789   118756
   129500   1326s |  43   122886   117680 |  29   115076   111925
   130000   1331s |  59   117791   117675 |  62   120807   118929
   130500   1336s |  52   117829   117666 |  36   121220   117711
   131000   1340s |  59   117742   117666 |  37   118894   118050
   131500   1345s |  57   117842   117666 |  47   121571   118559
   132000   1350s |  25   117811   117666 |  46   122072   118272
   132500   1358s |  43   117742   117644 |  36   121521   117439
   133000   1363s |  60   117895   117644 |  27   119175   118828
   133500   1368s |  45   117804   117644 |  50   121724   117841
   134000   1372s |  41   117712   117635 |  62   119853   118513
   134500   1377s |  50   117727   117635 |  61   122048   118199
   135000   1384s |  30   117698   117635 |  48   123743   118241
   135500   1391s |  64   117745   117635 |  63   115266   111474
   136000   1396s |  65   117749   117635 |  29   123930   118018
   136500   1400s |  58   117790   117635 |  44   119220   118869
   137000   1405s |  49   117711   117616 |  61   120768   118154
   137500   1410s |  45   117687   117613 |  32   123675   118681
   138000   1417s |  36   117684   117613 |  49   119569   117878
   138500   1421s |  36   117728   117613 |  57   118850   118564
   139000   1427s |  30   117763   117613 |  30   104824    95041
   139500   1433s |  53   117801   117613 |  56   120128   118066
   140000   1438s |  27   117749   117613 |  49   121160   117970
   140500   1442s |  35   117732   117613 |  49   112990   102196
   141000   1448s |  64   117794   117613 |  28   119766   117922
   141500   1453s |  41   117729   117613 |  59   114877   107005
   142000   1458s |  65   117784   117613 |  43   117753   117012
   142500   1463s |  38   117833   117613 |  37   115093   111313
   143000   1468s |  31   117733   117613 |  52   119335   118825
   143500   1472s |  40   117770   117613 |  51   116798   114515
   144000   1477s |  58   117769   117613 |  41   118464   118033
   144500   1481s |  57   117764   117613 |  50   117154   115925
   145000   1486s |  30   117716   117613 |  44   122129   118158
   145500   1492s |  54   117722   117613 |  28   120905   118168
   146000   1496s |  38   117746   117613 |  52   119077   118636
   146500   1501s |  34   117795   117613 |  64   119297   118273
   147000   1506s |  47   117790   117613 |  59   119115   118862
   147500   1510s |  48   117761   117613 |  25   120209   117787
   148000   1515s |  44   117779   117613 |  37   122859   117832
R                 |        restart        |        restart
   148500   1520s |  58   121934   117869 |  40   121306   119347
   149000   1525s |  28   125668   117749 |  37   120078   118747
   149500   1531s |  40   117874   117708 |  33   122735   118402
   150000   1536s |  33   117826   117687 |  48   116497   113444
   150500   1540s |  55   117760   117687 |  34   119949   118411
   151000   1544s |  27   117721   117682 |  29   118546   118453
   151500   1548s |  38   117753   117653 |  26   117181   116409
   152000   1553s |  53   117716   117653 |  60   122994   118600
   152500   1558s |  43   117755   117639 |  37   113182   110236
   153000   1563s |  47   117711   117639 |  41   121418   118020
   153500   1567s |  50   117769   117639 |  46   118888   118769
   154000   1571s |  26   117744   117639 |  37   119012   118798
   154500   1578s |  35   117679   117639 |  36   121217   117770
   155000   1585s |  45   117749   117639 |  34   126488   118459
   155500   1589s |  29   117769   117639 |  58   114924   106239
   156000   1596s |  46   117741   117639 |  49   123595   118620
   156500   1601s |  31   117833   117639 |  31   119482   119226
   157000   1605s |  57   117702   117631 |  54   120676   117889
   157500   1611s |  29   117713   117627 |  49   120575   118382
   158000   1619s |  42   117675   117607 |  44   124608   118193
   158500   1623s |  62   117689   117607 |  32   120653   118112
   159000   1632s |  44   117950   117607 |  34   119392   116667
   159500   1638s |  47   117823   117607 |  39   123833   118622
   160000   1643s |  50   117735   117607 |  44   120239   117960
   160500   1647s |  44   117764   117607 |  58   120721   118893
   161000   1652s |  31   117679   117607 |  38   118823   118342
   161500   1662s |  28   117720   117607 |  49   134254   118660
   162000   1667s |  40   117756   117607 |  45   126120   118502
   162500   1672s |  28   117789   117607 |  65   117646   116802
   163000   1678s |  28   117778   117607 |  32   125372   118747
   163500   1682s |  55   117827   117607 |  54   121161   118270
   164000   1687s |  33   117702   117607 |  43   118220   117907
   164500   1692s |  57   117704   117607 |  27   119278   118951
   165000   1697s |  34   117687   117607 |  58   118802   118367
   165500   1701s |  32   117688   117607 |  27   117543   116094
   166000   1708s |  36   117773   117607 |  31   124350   118666
   166500   1713s |  36   117737   117607 |  39   121963   118090
   167000   1718s |  26   117743   117607 |  57   122139   117356
   167500   1722s |  45   117803   117607 |  46   121159   118830
   168000   1728s |  47   117710   117607 |  52   124928   118475
R                 |        restart        |        restart
   168500   1733s |  49   122635   117916 |  50   119969   118268
   169000   1739s |  41   123287   117717 |  25   118861   118292
   169500   1744s |  25   117976   117717 |  49   119499   118363
   170000   1748s |  44   117971   117686 |  38   118002   117714
   170500   1753s |  32   117845   117686 |  58   121384   117886
   171000   1758s |  40   117787   117665 |  58   117277   116135
   171500   1762s |  34   117706   117665 |  31   118805   118614
   172000   1767s |  36   117706   117665 |  37   121815   118666
   172500   1771s |  38   117759   117644 |  43   118754   118530
   173000   1779s |  62   117854   117644 |  40   120749   118371
   173500   1785s |  40   117742   117644 |  29   114526   113144
   174000   1789s |  47   117728   117644 |  30   119732   117801
   174500   1793s |  27   117722   117644 |  58   116245   114970
   175000   1802s |  28   117822   117644 |  25    92043    88320
   175500   1810s |  37   117732   117644 |  65   120021   117979
   176000   1814s |  50   117758   117644 |  60   120667   118188
   176500   1819s |  44   117740   117644 |  33   122767   118273
   177000   1825s |  55   117754   117644 |  30   114530   112533
   177500   1830s |  38   117701   117644 |  55   120636   117984
   178000   1836s |  40   117711   117644 |  61   122635   118425
   178500   1840s |  62   117741   117644 |  47   119137   118358
   179000   1846s |  26   117703   117644 |  50   118314   116358
   179500   1852s |  64   117789   117644 |  61   124967   118612
   180000   1858s |  27   117723   117644 |  65   123042   118048
   180500   1863s |  25   117757   117641 |  34   121426   118043
   181000   1868s |  62   117808   117641 |  46   115625   113734
   181500   1875s |  56   117803   117641 |  60   125573   118973
   182000   1880s |  34   117759   117641 |  49   120319   118073
   182500   1885s |  38   117833   117641 |  53   117765   116896
   183000   1890s |  61   117750   117607 |  38   121524   118314
   183500   1894s |  30   117683   117607 |  36   123994   118392
   184000   1900s |  45   117687   117607 |  29   122000   118770
   184500   1905s |  45   117698   117607 |  37   119743   117701
   185000   1910s |  49   117668   117607 |  41   119498   118110
   185500   1914s |  25   117651   117607 |  32   118879   118459
   186000   1919s |  33   117735   117607 |  32    98270    90556
   186500   1925s |  59   117653   117607 |  55   120461   118056
   187000   1930s |  26   117727   117607 |  55   119092   117972
   187500   1935s |  60   117792   117607 |  29   103460    97541
   188000   1941s |  44   117752   117606 |  53   120633   118282
R                 |        restart        |        restart
   188500   1946s |  26   126430   117814 |  33   121793   119054
   189000   1951s |  35   124182   117753 |  32   123314   119255
   189500   1956s |  50   122242   117684 |  25   118736   118260
   190000   1961s |  50   122180   117675 |  33   118946   118644
   190500   1967s |  54   117728   117675 |  37   123879   118150
   191000   1971s |  52   117787   117666 |  47   114913   113203
   191500   1977s |  41   117727   117666 |  25   122580   117749
   192000   1981s |  35   117803   117666 |  39   116355   114982
   192500   1986s |  50   117824   117666 |  32   125191   119087
   193000   1992s |  50   117795   117666 |  40   129672   118784
   193500   1997s |  54   117806   117666 |  44   126513   118754
   194000   2003s |  48   117799   117666 |  58   120324   118368
   194500   2007s |  51   117841   117666 |  63   117866   117631
   195000   2012s |  56   117796   117666 |  25   120150   118505
   195500   2016s |  53   117798   117666 |  36   119619   117725
   196000   2025s |  50   117970   117666 |  65   120778   117931
   196500   2029s |  51   117862   117666 |  31   118825   118615
   197000   2034s |  50   117816   117666 |  40   119001   118625
   197500   2039s |  55   117808   117666 |  43   118519   117385
   198000   2044s |  51   117824   117666 |  55   122916   118804
   198500   2049s |  32   117791   117666 |  41   120325   118128
   199000   2054s |  39   117813   117666 |  42   120022   118533
   199500   2059s |  62   117879   117666 |  27   119082   118637
   200000   2063s |  37   117825   117638 |  60   118968   118529
   200500   2068s |  62   117853   117638 |  43   118869   118222
   201000   2073s |  46   117770   117638 |  26   120720   118363
   201500   2077s |  27   117741   117622 |  53   120705   118882
   202000   2082s |  30   117661   117622 |  58   121220   117956
   202500   2087s |  25   117714   117606 |  30   122247   118429
   203000   2091s |  48   117660   117606 |  56   119179   118488
   203500   2098s |  34   117673   117606 |  37   120691   118163
   204000   2103s |  35   117709   117606 |  44   118396   117451
   204500   2109s |  65   117647   117606 |  63   118420   117924
   205000   2115s |  52   117676   117606 |  43    90162    84637
   205500   2122s |  27   117721   117606 |  35   116605   115587
   206000   2126s |  63   117774   117606 |  48   122281   118455
   206500   2130s |  52   117853   117606 |  26   125485   118534
   207000   2136s |  58   117761   117606 |  28   118938   116969
   207500   2143s |  32   117731   117606 |  62   121950   118182
   208000   2148s |  33   117761   117606 |  28   118233   117523
R                 |        restart        |        restart
   208500   2154s |  29   125697   118030 |  31   115528   114484
   209000   2159s |  41   118021   117838 |  27   119460   118120
   209500   2165s |  61   117990   117716 |  56   119113   117908
   210000   2170s |  29   117809   117688 |  55   119812   118244
   210500   2174s |  55   117831   117661 |  37   118662   118260
   211000   2183s |  42   117824   117661 |  65   126814   117654
   211500   2189s |  38   117766   117661 |  36   119798   115027
   212000   2194s |  35   117794   117661 |  47   123209   118076
   212500   2198s |  53   117805   117661 |  37   116691   106718
   213000   2204s |  46   117723   117656 |  52   128176   118378
   213500   2210s |  38   117747   117647 |  27   122054   118830
   214000   2216s |  64   117738   117647 |  50   123496   118411
   214500   2219s |  65   117763   117644 |  57   120534   118806
   215000   2223s |  46   117681   117644 |  43   118081   117959
   215500   2227s |  40   117754   117644 |  57   119051   118853
   216000   2232s |  35   117699   117644 |  29   120260   118156
   216500   2236s |  41   117731   117644 |  31   118863   118548
   217000   2241s |  43   117800   117644 |  37   123668   119146
